,name,minutes
51,Jason Steele,4770
101,Wayne Hennessey,3691
31,Ellis Simms,3639
24,Daniel Bentley,3600
29,Divin Mubama,3456
32,Emiliano Marcondes,3428
97,Tyrese Francois,3421
57,Jordan Amissah,3420
55,Joe Whitworth,3420
53,Joe Hodge,3420
42,Harry Arter,3420
48,Jake O'Brien,3420
44,Ismaila Coulibaly,3420
68,Luke Plange,3420
41,Harrison Ashby,3420
36,Francisco Jorge Tomás Oliveira,3420
62,Kell Watts,3420
0,Adam Davies,3420
71,Marcus Bettinelli,3420
34,Ethan Horvath,3420
79,Oliver McBurnie,3420
82,Remi Matthews,3420
84,Rúnar Alex Rúnarsson,3420
86,Saša Lukić,3420
89,Tanguy Ndombélé Alvaro,3420
90,Terence Kongolo,3420
93,Tom King,3420
95,Tom McGill,3420
96,Tomáš Souček,3420
99,Viljami Sinisalo,3420
100,Vladimír Coufal,3420
102,William Osula,3420
74,Matija Šarkić,3420
52,Jeff Hendrick,3420
7,Anis Slimane,3420
6,Andy Lonergan,3420
8,Anthony Knockaert,3420
14,Brandon Austin,3420
3,Alfie Whiteman,3420
88,Shea Charles,3357
67,Luke Berry,3330
70,Mads Juel Andersen,3330
17,Carlos Mendes Gomes,3330
83,Ryan Trevitt,3330
66,Luca Koleosho,3330
72,Mateo Kovačić,3330
75,Matt Macey,3330
76,Matthew Cox,3330
15,CJ Egan-Riley,3330
81,Reece Burke,3330
69,Lyle Foster,3330
87,Scott Carson,3330
13,Bobby Thomas,3330
12,Bailey Peacock-Farrell,3330
63,Lawrence Vigouroux,3330
10,Arijanet Muric,3330
9,Aribim Pepple,3330
94,Tom Lockyer,3330
98,Victor da Silva,3330
5,Ameen Al-Dakhil,3330
4,Amari'i Bell,3330
2,Alfie Doughty,3330
65,Louie Watson,3330
104,Yegor Yarmolyuk,3330
50,James Shea,3330
28,Dion Pereira,3330
19,Carlton Morris,3330
23,Dan Potts,3330
1,Admiral Muskwe,3330
47,Jack Walton,3330
54,Joe Taylor,3330
26,Denis Franchi,3330
21,Charlie Goode,3330
56,John McAtee,3330
20,Cauley Woodrow,3330
58,Jordan Clark,3330
40,Glen Rea,3330
38,Gabriel Osho,3330
37,Fred Onyedinma,3330
30,Elliot Thorpe,3330
61,Jóhann Berg Gudmundsson,3330
25,Dara Costelloe,3330
91,Theo Walcott,1123
73,Mateus Cardoso Lemos Martins,732
45,Jack Colback,492
49,James Bree,366
33,Enock Mwepu,209
60,Joseph Whitworth,180
59,Joseph Hodge,172
11,Arnaut Danjuma,162
103,Yan Valery,45
43,Isaac Price,32
92,Thomas Cannon,23
78,Odeluga Offiah,23
27,Dexter Lembikisa,22
64,Lewis Miley,14
77,Matthew Craig,13
80,Owen Bevan,8
18,Carlos Ribeiro Dias,6
16,Cameron Peupion,5
85,Samuel Amo-Ameyaw,3
22,Connor Ronan,1
39,George Abbott,1
35,Ethan Nwaneri,1
46,Jack Hinshelwood,1
