,name,minutes
22,Mathias Jensen,2805
17,Jason Steele,1350
0,Alexandre Moreno Lopera,1325
28,Theo Walcott,1123
5,Danilo dos Santos de Oliveira,976
21,Mateus Cardoso Lemos Martins,732
14,Jack Colback,492
16,James Bree,366
31,Wayne Hennessey,271
8,Ellis Simms,219
10,Enock Mwepu,209
4,Daniel Bentley,180
19,Joseph Whitworth,180
18,Joseph Hodge,172
32,Yan Valery,45
7,Divin Mubama,36
13,Isaac Price,32
27,Shea Charles,27
24,Odeluga Offiah,23
29,Thomas Cannon,23
6,Dexter Lembikisa,22
20,Lewis Miley,14
23,Matthew Craig,13
25,Owen Bevan,8
9,Emiliano Marcondes,8
2,Carlos Ribeiro Dias,6
1,Cameron Peupion,5
26,Samuel Amo-Ameyaw,3
3,Connor Ronan,1
12,George Abbott,1
30,Tyrese Francois,1
11,Ethan Nwaneri,1
15,Jack Hinshelwood,1
